student_id,student_name,class_name,edu_mail,address_id,national_id,key_year,gender,student_dob
20011661,Trần Hoà Ân,KHDL16A,an.20011661@student.iuh.edu.vn,293,553958720,2023 - 2027,Nam,2002-01-17
20045391,Nguyễn Trường Chinh,KHDL16A,chinh.20045391@student.iuh.edu.vn,200,438958172,2023 - 2027,Nam,2002-02-03
20047711,Hoàng Thị Ánh Dương,KHDL16A,duong.20047711@student.iuh.edu.vn,3881,937978408,2023 - 2027,Nữ,2002-07-02
20053181,Bùi Hoàng Sơn,KHDL16A,son.20053181@student.iuh.edu.vn,3150,651988577,2023 - 2027,Nam,2002-11-24
20073991,Hoàng Đức Chiến,KHDL16A,chien.20073991@student.iuh.edu.vn,3334,277951573,2023 - 2027,Nam,2002-06-07
20120721,Lưu Gia Khải,KHDL16A,khai.20120721@student.iuh.edu.vn,5279,325216406,2023 - 2027,Nam,2002-03-10
20018991,Dương Quang Huy,KHDL16A,huy.20018991@student.iuh.edu.vn,907,980530205,2023 - 2027,Nam,2002-08-30
20025031,Nguyễn Thanh Nam,KHDL16A,nam.20025031@student.iuh.edu.vn,3242,208476324,2023 - 2027,Nam,2002-09-06
20033951,Võ Minh Tâm,KHDL16A,tam.20033951@student.iuh.edu.vn,169,876259939,2023 - 2027,Nam,2002-06-16
20048721,Phạm Tiến Thành,KHDL16A,thanh.20048721@student.iuh.edu.vn,3668,782341227,2023 - 2027,Nam,2002-06-19
20082051,Lê Ngọc Huy,KHDL16A,huy.20082051@student.iuh.edu.vn,655,213640762,2023 - 2027,Nam,2002-05-25
20101811,Nguyễn Trần Quốc Bảo,KHDL16A,bao.20101811@student.iuh.edu.vn,2716,768058480,2023 - 2027,Nam,2002-07-22
20016701,Nguyễn Trần Lâm,KHDL16A,lam.20016701@student.iuh.edu.vn,1552,190496337,2023 - 2027,Nam,2001-12-01
20000911,Võ Khánh Dự,KHDL16A,du.20000911@student.iuh.edu.vn,4449,955895369,2023 - 2027,Nam,2002-09-30
